id,project_id,area_id
2980,138,44
2981,138,45
2982,138,15
2983,138,41
2984,138,23
2985,138,26
15874,106,43
15875,106,31
16323,121,28
58549,821,59
73491,433,15
56580,502,82
53294,626,46
84080,889,34
53295,626,47
84081,889,59
84082,889,42
84083,889,23
84144,648,8
84145,648,2
84146,648,30
84147,648,22
84148,648,31
56581,502,83
55395,645,52
55396,645,74
6811,546,19
6812,546,50
6813,546,43
6814,546,66
2119,153,82
55397,645,84
55398,645,22
55399,645,31
6815,546,29
3610,78,49
3611,78,35
3630,65,33
3631,65,34
3632,65,35
3654,3,34
3655,3,28
84659,1029,36
84876,882,34
84877,882,42
84878,882,23
43024,515,27
18557,342,43
18558,342,61
18559,342,22
43025,515,58
43026,515,43
43027,515,76
40505,197,45
40506,197,47
43028,515,30
44930,655,80
44931,655,34
44932,655,59
44933,655,42
44934,655,23
58550,821,76
58551,821,58
85502,1078,34
85503,1078,59
54874,472,82
53296,626,48
53297,626,49
53298,626,51
53299,626,53
53300,626,55
2167,409,31
2168,409,28
2169,409,43
2170,409,16
2171,408,31
2172,408,43
2173,408,22
2174,407,28
2175,407,36
85504,1078,42
6855,252,33
53301,626,56
53302,626,57
6856,252,47
2184,397,31
2185,396,31
6857,252,15
53303,626,59
52841,759,59
73492,433,17
71951,963,69
73493,433,26
52842,759,42
73494,433,30
2209,328,29
2210,327,24
2211,327,11
2212,327,27
2213,327,20
2214,327,22
2215,327,16
2216,327,18
2217,327,31
2218,327,30
2219,327,28
2220,327,29
2221,327,43
2222,327,2
2223,327,5
2224,327,4
2225,327,8
2226,327,12
2227,327,10
15687,530,82
15177,562,32
15178,562,35
15179,562,36
15180,562,49
56582,502,84
56583,502,85
15181,562,38
15182,562,7
2639,439,8
2640,439,74
2641,439,43
2238,279,28
2239,279,5
2240,279,43
2241,278,31
15183,562,43
15184,562,44
15185,562,46
15186,562,48
15187,562,17
2642,439,52
2643,439,31
15188,562,18
15189,562,55
15190,562,28
15191,562,62
15688,530,83
15689,530,85
5866,332,43
5867,332,29
5868,332,22
2817,85,33
2818,85,34
